,Name,Measure,Toxicity,Reference
0,NITROGLYCERIN,LD50,Rat oral (male) 822 mg/kg,"Bingham, E.; Cohrssen, B.; Powell, C.H.; Patty's Toxicology Volumes 1-9 5th ed. John Wiley & Sons. New York, N.Y. (2001)., p. 605"
1,NITROGLYCERIN,LD50,Mouse oral (male) 1188 mg/kg,"Bingham, E.; Cohrssen, B.; Powell, C.H.; Patty's Toxicology Volumes 1-9 5th ed. John Wiley & Sons. New York, N.Y. (2001)., p. 605"
2,ISOLAN,LD50,Mouse ip 1 mg/kg,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 1435"
3,ISOLAN,LD50,Rat ip 2150 ug/kg,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 1435"
4,ISOLAN,LD50,"Rat dermal 5,600 mg/kg","Wirksubstanzen der Pflanzenschutz und Schaedlingsbekaempfungsmittel 1971-76, Verlag Paul Parey, Berlin, Germany as cited in The Dictionary of Substances and Their Effects (DOSE, 3rd Electronic Edition) 2005 by The Royal Society of Chemistry"
5,ISOLAN,LD50,"Mouse oral 9,800 mg/kg","Proc Eur Soc Toxicol 17(351) 1976 as cited in The Dictionary of Substances and Their Effects (DOSE, 3rd Electronic Edition), 2005, by The Royal Society of Chemistry"
6,ISOLAN,LD50,"Rat oral 10,800 mg/kg","Proc Eur Soc Toxicol 17 (351) 1976 as cited in The Dictionary of Substances and Their Effects (DOSE, 3rd Electronic Edition), 2005, by The Royal Society of Chemistry"
7,"IODINE, ELEMENTAL",LD50,Rat oral 14 g/kg,"Lewis, R.J. Sax's Dangerous Properties of Industrial Materials. 9th ed. Volumes 1-3. New York, NY: Van Nostrand Reinhold, 1996., p. 1926"
8,"IODINE, ELEMENTAL",LD50,Mouse oral 22 g/kg,"Lewis, R.J. Sax's Dangerous Properties of Industrial Materials. 9th ed. Volumes 1-3. New York, NY: Van Nostrand Reinhold, 1996., p. 1926"
9,"IODINE, ELEMENTAL",LD50,Rabbit oral 10 g/kg,"Lewis, R.J. Sax's Dangerous Properties of Industrial Materials. 9th ed. Volumes 1-3. New York, NY: Van Nostrand Reinhold, 1996., p. 1926"
10,BENZENE,LD50,Mice ip 0.34 mL/kg,PMID:5644044
11,BENZENE,LD50,Rat oral 3306 mg/kg,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 360"
12,BENZENE,LD50,"Rat ihl 10,000 ppm/7 hr","Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 360"
13,BENZENE,LD50,Rat ip 2890 ug/kg,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 360"
14,BENZENE,LD50,Mouse oral 4700 mg/kg,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 360"
15,BENZENE,LD50,Mouse ihl 9980 ppm /time of exposure not stated/,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 360"
16,BENZENE,LD50,Mouse sc 88-2200 mg/kg bw,"IUCLID Data Set for Benzene (71-43-2); Available from, as of March 21, 2014: https://esis.jrc.ec.europa.eu/doc/IUCLID/data_sheets/71432.pdf"
