,UUID,Substance
0,b2e9684b-59ca-483f-8bc8-4903e0dc2bb3,"( 4-hydroxystyrene, 4-t butoxy styrene and 2,5-dimethyl -2.5-diacryloxyhexane) copolymer"
1,a156afc8-b8d9-4df1-9ab4-89d7715ac6ed,"((2-ethyl-1-oxohexyl)oxy)-(1-phenyl-1,3-decanedionyl)dioctyl stannane; bis(1-phenyl-1,3-decanedionyl)dioctyl stannane; bis[((2-ethyl-1-oxohexyl)oxy)dioctylstannyl]oxide; reaction mass of: bis[(2-ethyl-1-oxohexyl)oxy]dioctyl stannane"
2,42adb43d-918e-422c-af65-0dcd5fff6296,((4-phenylbutyl)hydroxyphosphoryl)acetic acid [SQ 26999]
3,8b797377-180e-4afd-859b-965cf0c1b2f6,"((4S,4aR,7S,7aR)-4,7-dimethylhexahydrocyclopenta[c]pyran-1(3H)-one"
4,2c90426b-794b-4057-95dc-048c32277c7d,((6-chloro-4-((2-methoxy-3-(1-methyl-1H-1.2.4-triazol-3-yl)phenyl)amino)pyridazine-3-carbonyl)oxy) hemi-zinc salt
5,64bc99b2-f2e8-447d-95ec-5c7dbec90c1e,(-) Vince Lactam
6,53cdf5e9-1207-4569-8e24-6e84632b3275,"(-)(3S,4R)-4-(4-fluorophenyl)-3-(3,4-methylenedioxy-phenoxymethyl)-N-benzylpiperidine hydrochloride"
7,ee73e05a-8169-49b8-b490-7a9a92fc858c,"(-)-1-Benzyl-4-(-4-fluor-phenyl)-3-hydroxymethyl-1,2,3,6-tetrahydropyridine-L-dibenzoyl-tartaric salt"
8,4218109b-6cf8-4bef-b10f-a56e66df8e1e,"(-)-1β-2(2´-Diethoxy-carbonyl-ethyl)-1α-ethyl-1,2,3,4,6,7,12,12b-α-octahydro-indolo[2,3-a]quinolizin"
9,5630564f-f2c5-4838-af23-68f636c0166d,"(-)-3,7-dimethyloct-6-en-1-ol"
10,56f2a735-76e9-40cd-a683-e0e335dda5e6,"(-)-3,7-dimethyloct-6-enyl acetate"
11,9e76e802-5e32-41f8-ba39-70d15ce061b1,(-)-Di-p-anisoyl-L-tartaric Acid
12,67cf02f3-1bf9-403f-8640-a6525d8c8ec9,(-)-pin-2(10)-ene
13,7665d0b3-0153-447a-a837-af0e94caf235,(-)-pin-2(10)-ene
14,43b4d03c-08b7-48da-a123-4d4b3b671700,(-)-tartaric acid
15,7a961502-8df3-4e91-bec8-65f4faac3e05,(-)-trans-4-(4'-fluorophenyl)-3-hydroxymethyl-N-methylpiperidine
16,905285e1-b5cf-4c9e-a1d2-5174bfffc429,(-)-trans-4-(4'-fluorophenyl)-3-hydroxymethyl-N-methylpiperidine
17,6f7631b2-f7c4-4ea4-96f5-306e23855130,(-)-trans-4-(4'-fluorophenyl)-3-hydroxymethyl-N-methylpiperidine [BRL 29226]
18,fd1fed3d-1826-4ec5-85b1-a0327981c4d4,(-)-trans-4-(4'-fluorophenyl)-3-hydroxymethyl-N-methylpiperidine [BRL 29226]
19,e60a4097-d9cf-4ab6-9284-779f91715fdc,"(+)-(1S,2S,3S,5R)-2,6,6-trimethylbicyclo[3.1.1]heptane-3-spiro-1'-(cyclohex-2'-en-4'-one)"
20,cf5d6227-2e7b-4715-a7a5-ab02306df8e8,"(+-)-(3aRS,5aSR,9aSR,9bSR)-3a,6,6,9a-Tetramethyldodecahydronaphtho[2,1-b]furan"
21,747ca490-3888-4d86-ba1d-7bda0ad40b2a,"(+)-13-ethyl-1,6,7,8,9,10,11,12,13,14,15,16-dodecahydro-2H-cyclopenta[a]phenanthrene-3,17-dione [D-ETHYLGONENDION]"
22,a56be186-7ab7-4d5e-9908-7f8bd308fe0f,"(+)-14-diethoxycarbonyl-1α-ethyl-1,2,3,4,5,6,12,12b-octahydro-indolo-[2,3-a]-tetrahydro-pyranyl-[2,3-c]-quinolizine"
