Scraped Substances,ToxSummFilename
(+)-bornan-2-one,207e242c-fce8-49d7-82b1-2e9237c4acd9
(+)-L-arginine hydrochloride,ab00a5f0-a291-4fbb-ae9d-f97a5e8aa9eb
(+)-menthol,54528add-f6fa-4ff5-a8b7-366b825aa7fb
(+)-tartaric acid,f173cd50-8466-40b2-aac0-142b0855cd34
"(-)-3,7-dimethyloct-6-en-1-ol",161887ce-aee5-4510-bfed-a50032537119
"(1-methylethyl)-1,1'-biphenyl",9bc5a0e0-ec06-4d11-af06-2b094b43636a
"(1E)-1-chloro-3,3,3-trifluoroprop-1-ene",4dc65959-fe1e-4768-9210-d445d6b0a6a3
"(1Z)-1-Chloro-2,3,3-trifluoroprop-1-ene",da2db587-0ed5-4a12-9e14-48d565b87b07
(2-hydroxyethyl)ammonium nitrate,1d56c1b8-a723-43d6-a302-3c4a37b2081a
(2-hydroxyethyl)ammonium mercaptoacetate,6c15adae-ab32-44a0-bab7-ffecddc39204
(2-methoxymethylethoxy)propanol,736f6e83-3745-45a3-8ecd-c4559f2aab57
(2-methoxyethyl)benzene,e727f9bd-fffa-4d0f-9837-0ce77d9b5b0b
"(2E)-1,1,1,4,4,4-hexafluoro-2-butene",25bd1872-9cd3-4072-9e0e-46a04f811ddc
(3-chloropropyl)triethoxysilane,aa1ecc88-7b21-48fb-8158-7bf587edac3a
"(5-ethyl-1,3-dioxan-5-yl)methyl acrylate",7bc026b1-3344-4fc5-a19e-67d964f02d31
(E)-2-methoxy-4-(prop-1-enyl)phenol,1fa3d3ac-fc94-4920-8ef2-e56c0f482ae8
(E)-3-methyl-5-cyclopentadecen-1-one,f70030c1-dfff-45fd-a2b0-e2a6c31ec9fa
"(R)-(-)-butane-1,3-diol",1fff212d-9eae-4160-9e32-1df63d608933
(R)-lactic acid,cfacd037-7a0e-4dd4-b26d-69b17f5441a7
"(R,R)-(-)-butane-2,3-diol",f34bf8b7-65be-4c9a-bf4c-fe608e093149
"(R)-p-mentha-1,8-diene",e1b4b387-d0e9-4447-9231-aad868335ef5
"(S)-p-mentha-1,8-diene",9f799685-b945-4a7e-953b-f6c62078fe79
"(Z)-2-butene-1,4-diol",7184c70c-cc3c-4ccd-b060-0d89a6c2ad92
(Z)-N-octadecyldocos-13-enamide,8a84e462-e90d-4c1a-92ac-46713a1ef299
(Z)-hex-3-enyl acetate,2c0c4dc8-3fe8-4b57-969c-48eacdb38517
(Z)-docos-13-enamide,6ef26318-6577-46ba-8c90-65da22926968
(Z)-cyclooctene,31ea11c2-2ad9-4764-9b5a-83cf98f49da0
(Z)-octadec-9-enyl (Z)-docos-13-enoate,bf46ca1a-c3e0-488b-9782-2302d7f711da
(Z)-octadec-9-enol,8cbec858-3692-4a7b-a9a5-e71128266a0e
(benzothiazol-2-ylthio)acetic acid,14c74c82-f802-4e31-9453-899728645793
(aminoalkyl) hydrogen thiosulfate,abd98307-5aa9-43fc-802e-857dc186960b
